away,home,prob_away_wins,prob_home_wins,away_score_proj,home_score_proj,home_mov_proj,total_proj,entropy,scheduled_at,neutral_site,method
Kings,Clippers,0.23535685532906792,0.7646431446709321,99.472948140114,106.89256446390571,7.419616323791715,206.36551260401973,0.7872332520689524,2018-01-13T12:30:00-08:00,0,PB1
Lakers,Mavericks,0.37421144247091853,0.6257885575290815,103.2472924331743,106.2804803808504,3.0331879476761117,209.5277728140247,0.9538509488040442,2018-01-13T13:00:00-06:00,0,PB1
Thunder,Hornets,0.5078946387681185,0.4921053612318816,103.16876084806347,102.92408620697213,-0.2446746410913363,206.0928470550356,0.9998201596632984,2018-01-13T17:00:00-05:00,0,PB1
Nets,Wizards,0.2700022819013125,0.7299977180986875,103.5704392297294,109.73693661149817,6.166497381768764,213.30737584122755,0.8414679105738718,2018-01-13T19:00:00-05:00,0,PB1
Warriors,Raptors,0.4579619336457318,0.5420380663542682,111.09494024105649,111.96743319025545,0.872492949198957,223.06237343131193,0.994894917049014,2018-01-13T19:30:00-05:00,0,PB1
Nuggets,Spurs,0.33228525696299194,0.6677147430370081,99.31058882078459,103.23288981828054,3.9223009974959524,202.54347863906514,0.9172441901266544,2018-01-13T19:30:00-06:00,0,PB1
Pistons,Bulls,0.6142921050276071,0.3857078949723929,102.53361479659529,99.64328849984553,-2.8903262967497625,202.1769032964408,0.9619737689275516,2018-01-13T20:00:00-05:00,0,PB1
Bucks,Heat,0.39462381527259727,0.6053761847274027,101.28716768045925,103.61482643179302,2.3276587513337716,204.90199411225228,0.9677187238442763,2018-01-14T13:00:00-05:00,0,PB1
Pelicans,Knicks,0.47148105248236105,0.528518947517639,107.71844310180208,108.06552392190856,0.3470808201064841,215.78396702371066,0.9976519504964554,2018-01-14T15:30:00-05:00,0,PB1
Pacers,Suns,0.5977227779162575,0.4022772220837425,110.73612682039091,108.02644455157757,-2.7096822688133386,218.76257137196848,0.9722671074359757,2018-01-14T18:00:00-07:00,0,PB1
Trail Blazers,Timberwolves,0.323212375280552,0.676787624719448,101.2201284355525,105.89239379596917,4.672265360416674,207.11252223152167,0.9078406478184406,2018-01-14T20:00:00-06:00,0,PB1
Hornets,Pistons,0.31390915956554666,0.6860908404344533,99.51582504667778,104.03569645332728,4.5198714066495,203.55152150000504,0.8976344947754242,2018-01-15T12:30:00-05:00,0,PB1
Raptors,76ers,0.6117234939439077,0.3882765060560923,110.60071139279417,107.45642883082836,-3.1442825619658095,218.05714022362253,0.9636783057471217,2018-01-15T13:00:00-05:00,0,PB1
Bucks,Wizards,0.3768933069820247,0.6231066930179753,104.27008714283262,107.36050893666271,3.090421793830089,211.63059607949532,0.9558182798857646,2018-01-15T14:00:00-05:00,0,PB1
Knicks,Nets,0.46904906048594297,0.530950939514057,104.90906025172532,105.72291512108971,0.8138548693643912,210.63197537281502,0.9972341418511197,2018-01-15T15:00:00-05:00,0,PB1
Spurs,Hawks,0.6909229353815383,0.3090770646184618,103.86709454375668,99.068481822227,-4.798612721529679,202.93557636598368,0.8921052139085566,2018-01-15T15:00:00-05:00,0,PB1
Heat,Bulls,0.58843632586453,0.41156367413547007,101.99150473517943,99.80024391703469,-2.191260818144741,201.79174865221412,0.9773142516208254,2018-01-15T15:30:00-05:00,0,PB1
Lakers,Grizzlies,0.40908614407793564,0.5909138559220644,100.21668754887828,102.0596261530173,1.8429386041390217,202.2763137018956,0.9760181202593536,2018-01-15T17:30:00-05:00,0,PB1
Kings,Thunder,0.190501375335411,0.809498624664589,95.66091328212605,104.20772091475496,8.546807632628912,199.868634196881,0.7025191207810311,2018-01-15T19:00:00-06:00,0,PB1
Rockets,Clippers,0.6339620744721681,0.3660379255278319,113.73401360027326,109.67291439552731,-4.061099204745943,223.40692799580057,0.9475812555302023,2018-01-15T19:30:00-08:00,0,PB1
Warriors,Cavaliers,0.6239183929942976,0.37608160700570237,114.80595581082929,111.07834405836616,-3.727611752463133,225.88429986919544,0.9552275108773187,2018-01-15T20:00:00-05:00,0,PB1
Pacers,Jazz,0.4650833947824369,0.5349166052175631,101.94253649848359,102.44303242753183,0.5004959290482418,204.38556892601542,0.9964793561654927,2018-01-15T21:00:00-05:00,0,PB1
Timberwolves,Magic,0.6923376367719332,0.3076623632280669,110.93321382754716,105.56415406743574,-5.369059760111426,216.49736789498292,0.8904566044056464,2018-01-16T19:00:00-05:00,0,PB1
Mavericks,Nuggets,0.30759511552381513,0.6924048844761849,101.434687779235,106.48124821404836,5.046560434813358,207.91593599328337,0.8903779006814462,2018-01-16T19:00:00-07:00,0,PB1
Suns,Trail Blazers,0.24756803249029424,0.7524319675097058,102.36039123373176,109.0190842716471,6.6586930379153415,211.37947550537888,0.8074007436287779,2018-01-16T19:00:00-08:00,0,PB1
Pelicans,Celtics,0.23983464590917158,0.7601653540908284,101.67089128539908,108.34802892403579,6.677137638636708,210.01892020943487,0.7947651931689212,2018-01-16T19:30:00-05:00,0,PB1
Wizards,Hornets,0.5078780241421832,0.4921219758578168,105.0552733241339,104.72874959880845,-0.32652372532545826,209.78402292294237,0.9998209158623745,2018-01-17T19:00:00-05:00,0,PB1
Lakers,Thunder,0.25283816893452626,0.7471618310654737,101.15156350197222,107.66570520070842,6.514141698736196,208.81726870268062,0.8157456035883413,2018-01-17T19:00:00-06:00,0,PB1
